"Priority","Event Name","Stage","Trigger / When to Fire","Primary Properties","Source Components"
"P2","coupon_list_loaded","Checkout","Fire after applicable coupons are fetched for the selected event and plan.","event_id; event_name; plan_id; plan_name; coupons_count","components/BookingSummary.tsx"
"P2","promo_code_validation_requested","Checkout","Fire when a custom promo code is submitted for validation.","event_id; event_name; plan_id; plan_name; promo_code","components/BookingSummary.tsx"
"P2","promo_code_validation_failed","Checkout","Fire when promo code validation fails.","event_id; event_name; plan_id; plan_name; promo_code; error_message","components/BookingSummary.tsx"
"P2","coupon_apply_clicked","Checkout","Fire when Apply or Remove is clicked on a coupon card.","event_id; event_name; plan_id; plan_name; coupon_id; coupon_code; discount_type; discount_value; requires_id_upload; action","components/BookingSummary.tsx"
"P1","coupon_applied","Checkout","Fire when a coupon becomes the active applied coupon, either directly or after ID verification.","event_id; event_name; plan_id; plan_name; coupon_id; coupon_code; discount_type; discount_value; requires_id_upload; proof_attached","components/BookingSummary.tsx"
"P2","coupon_id_verification_prompted","Checkout","Fire when the ID proof modal opens because a selected coupon requires identity verification.","event_id; event_name; coupon_id; coupon_code","components/BookingSummary.tsx"
"P2","coupon_id_proof_uploaded","Checkout","Fire when a coupon proof file is selected.","event_id; event_name; coupon_id; coupon_code; file_name; file_type","components/BookingSummary.tsx"
"P2","tax_exemption_toggled","Checkout","Fire when the 80G tax exemption checkbox is toggled.","event_id; event_name; is_80g_required","components/BookingSummary.tsx"
"P2","policy_link_clicked","Checkout","Fire when the terms and conditions or refund policy link is opened from checkout.","event_id; event_name; policy_type; policy_url","components/BookingSummary.tsx"
"P2","policy_checkbox_toggled","Checkout","Fire when the terms or refund agreement checkbox changes.","event_id; event_name; policy_type; accepted","components/BookingSummary.tsx"
"P1","payment_submission_started","Checkout","Fire when Confirm and Pay is clicked and booking submission starts.","event_id; event_name; plan_id; plan_name; booking_id; guests_count; gross_amount; discount_amount; total_amount; addons_amount; stay_amount; coupon_code; is_80g_required","components/BookingSummary.tsx"
"P1","booking_submission_failed","Checkout","Fire when booking creation fails because of validation, inventory, coupon, or server-side errors.","event_id; event_name; plan_id; plan_name; guests_count; total_amount; coupon_code; error_message","components/BookingSummary.tsx"
"P1","booking_confirmed","Checkout","Fire when the booking API succeeds and a booking id is received.","event_id; event_name; plan_id; plan_name; booking_id; guests_count; total_amount; coupon_code; addons_amount; stay_amount","components/BookingSummary.tsx; App.tsx"
"P1","Charged","Checkout","Fire after booking confirmation as CleverTap's special purchase event so the profile is marked as a customer.","Amount; Charged ID; Payment Mode; Event ID; Event Name; Plan ID; Plan Name; Guests Count; Coupon Code; Items","components/BookingSummary.tsx"
"P1","payment_status_viewed","Post Booking","Fire when the payment status screen is shown.","event_id; event_name; plan_id; plan_name; booking_id; payment_status; primary_guest_email","components/PaymentStatus.tsx; App.tsx"
"P2","payment_retry_clicked","Post Booking","Fire when Retry is clicked on the failed payment status screen.","event_id; event_name; payment_status","components/PaymentStatus.tsx"
"P1","downloads_dashboard_viewed","Post Booking","Fire when the downloads dashboard is shown, including direct entry with booking and view=dashboard in the URL.","event_id; event_name; plan_name; booking_id; guests_count; documents_count","components/DownloadsDashboard.tsx; App.tsx"
"P1","document_opened","Post Booking","Fire when a downloadable booking document is opened from the dashboard.","event_id; event_name; booking_id; document_title; document_type; document_status","components/DownloadsDashboard.tsx"
"P2","other_info_link_clicked","Post Booking","Fire when a dashboard Other Info link is opened, including Terms, Refund Policy, FAQs, or Code of Conduct.","event_id; event_name; booking_id; link_title; link_url","components/DownloadsDashboard.tsx"
"P2","support_phone_clicked","Support","Fire when a phone support link is clicked from footer, plan detail, or dashboard.","event_id; event_name; booking_id; support_phone; placement","App.tsx; components/PlanDetail.tsx; components/DownloadsDashboard.tsx"
"P3","support_email_clicked","Support","Fire when the support email link is clicked from the dashboard.","event_id; event_name; booking_id; support_email; placement","components/DownloadsDashboard.tsx"
"P2","whatsapp_support_clicked","Support","Fire when the floating WhatsApp help button is clicked.","event_id; event_name; booking_id; whatsapp_number; current_step","App.tsx"
